Drug Name,Drug ID (ChEMBL),Queried Disease (per drug),Phase,Trial Status,Sponsor,Estimated Primary Completion Date,Trial Start Date,Mechanism of Action,Trial IDs (NCT),PubMed Reference,PubChem CID,Molecular Formula,Canonical SMILES,Molecular Weight,Source URLs
PYROTINIB,CHEMBL3647420,breast cancer,PHASE_2,RECRUITING,Shanghai Jiao Tong University School of Medicine,2027-09-30,2026-02-02,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT07393425,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT07393425
PYROTINIB,CHEMBL3647420,non-small cell lung carcinoma,PHASE_1_2,RECRUITING,"Jiangsu HengRui Medicine Co., Ltd.",2026-12,2022-09-15,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT05482568,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT05482568
PYROTINIB,CHEMBL3647420,solid tumors,PHASE_1_2,RECRUITING,"Jiangsu HengRui Medicine Co., Ltd.",2026-11,2023-08-11,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06015048,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06015048
PYROTINIB,CHEMBL3647420,solid tumors,PHASE_1_2,RECRUITING,"Risen (Suzhou) Pharma Tech Co., Ltd.",2027-02-26,2024-01-11,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06208410,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06208410
PYROTINIB,CHEMBL3647420,breast cancer,PHASE_1_2,UNKNOWN,Zunyi Medical College,2024-11-01,2022-11-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06470347,PMID:14601082 - The effect of tumor size and lymph node status on breast carcinoma lethality. - (Cancer 2003),51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06470347
PYROTINIB,CHEMBL3647420,"brain metastasis, breast cancer",PHASE_1_2,RECRUITING,Fudan University,2026-08-31,2025-01-08,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06718933,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06718933
PYROTINIB,CHEMBL3647420,breast cancer,PHASE_1,RECRUITING,The First Affiliated Hospital with Nanjing Medical University,2026-11-01,2024-11-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06770296,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06770296
PYROTINIB,CHEMBL3647420,breast cancer,UNKNOWN,RECRUITING,Zhejiang Cancer Hospital,2027-12-31,2022-03-16,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT05856383,"PMID:31430226 - Pyrotinib or Lapatinib Combined With Capecitabine in HER2-Positive Metastatic Breast Cancer With Prior Taxanes, Anthracyclines, and/or Trastuzumab: A Randomized, Phase II Study. - (Journal of clinical oncology : official journal of the American Society of Clinical Oncology 2019)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT05856383
PYROTINIB,CHEMBL3647420,breast cancer,UNKNOWN,RECRUITING,Peking Union Medical College Hospital,2027-06-01,2023-06-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06035016,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06035016
PYROTINIB,CHEMBL3647420,breast cancer,UNKNOWN,RECRUITING,Youzhi Zhu,2026-11-30,2023-08-17,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06035679,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06035679
PYROTINIB,CHEMBL3647420,breast cancer,UNKNOWN,RECRUITING,Wang Ouchen,2025-07-31,2021-11-27,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06234137,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06234137
PYROTINIB,CHEMBL3647420,"brain metastases, breast cancer",UNKNOWN,RECRUITING,zhangjie,2025-12-30,2021-06-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,NCT06754059,"PMID:40049447 - Efficacy and safety of neoadjuvant SHR-A1811 with or without pyrotinib in women with locally advanced or early HER2-positive breast cancer: a randomized, open-label, phase II trial. - (Annals of oncology : official journal of the European Society for Medical Oncology 2025)",51039030,C32H31ClN6O3,,583.1,https://clinicaltrials.gov/study/NCT06754059
NERATINIB,CHEMBL180022,"brain metastases, non-small cell lung carcinoma",PHASE_3,RECRUITING,Tata Memorial Hospital,2025-12,2020-11-10,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT05236946,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT05236946
NERATINIB,CHEMBL180022,biliary cancer,PHASE_3,RECRUITING,UNICANCER,2027-06,2024-07-18,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT05615818,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT05615818
NERATINIB,CHEMBL180022,breast cancer,PHASE_3,RECRUITING,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,2028-02-16,2023-03-14,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT05760612,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT05760612
NERATINIB,CHEMBL180022,glioblastoma,PHASE_2,RECRUITING,"Patrick Wen, MD",2028-02-01,2017-02-09,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT02977780,PMID:35575067 - A first-in-human Phase I trial of the oral p-STAT3 inhibitor WP1066 in patients with recurrent malignant glioma. - (CNS oncology 2022),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT02977780
NERATINIB,CHEMBL180022,"non-vestibular schwannoma, meningioma, ependymoma, Vestibular schwannoma",PHASE_2,RECRUITING,"Scott R. Plotkin, MD, PhD",2029-12-01,2020-06-20,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT04374305,PMID:38904277 - Brigatinib in NF2-Related Schwannomatosis with Progressive Tumors. - (The New England journal of medicine 2024),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT04374305
NERATINIB,CHEMBL180022,"cancer, breast cancer",PHASE_2,RECRUITING,Ruth O'Regan,2026-06-22,2022-07-21,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT04886531,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT04886531
NERATINIB,CHEMBL180022,"brain metastases, breast cancer",PHASE_2,RECRUITING,University of Rochester,2026-09-01,2022-09-23,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT04965064,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT04965064
NERATINIB,CHEMBL180022,breast cancer,PHASE_2,RECRUITING,"University Health Network, Toronto",2026-07,2022-12-06,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT05388149,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT05388149
NERATINIB,CHEMBL180022,Familial gastric cancer,PHASE_2,RECRUITING,Vanderbilt-Ingram Cancer Center,2030-04-30,2024-05-30,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT05919108,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT05919108
NERATINIB,CHEMBL180022,gastroesophageal cancers,PHASE_2,ACTIVE_NOT_RECRUITING,H. Lee Moffitt Cancer Center and Research Institute,2028-03,2024-01-12,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT06109467,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT06109467
NERATINIB,CHEMBL180022,"solid tumors, female reproductive organ cancer",PHASE_2,RECRUITING,National Cancer Institute (NCI),2027-02-20,2024-05-07,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT06126276,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT06126276
NERATINIB,CHEMBL180022,"solid tumor, ras-mutated cancer, ocular melanoma, glioblastoma",PHASE_1_2,SUSPENDED,Virginia Commonwealth University,2029-12-31,2019-05-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT03919292,PMID:34482636 - Neratinib kills B-RAF V600E melanoma via ROS-dependent autophagosome formation and death receptor signaling. - (Pigment cell & melanoma research 2022),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT03919292
NERATINIB,CHEMBL180022,"esophageal cancer, gastric cancer",PHASE_1,RECRUITING,Fox Chase Cancer Center,2026-06,2022-06-24,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT05274048,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT05274048
NERATINIB,CHEMBL180022,"chest wall recurrence, triple-negative breast carcinoma",EARLY_PHASE_1,RECRUITING,Baylor Research Institute,2026-06,2024-09-16,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT06008275,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT06008275
NERATINIB,CHEMBL180022,breast cancer,UNKNOWN,RECRUITING,Shu Wang,2031-12-31,2019-01-01,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT06693024,PMID:32721042 - Novel HER2-targeted therapies for HER2-positive metastatic breast cancer. - (Cancer 2020),9915743,C30H29ClN6O3,,557.0,https://clinicaltrials.gov/study/NCT06693024
NERATINIB MALEATE,CHEMBL3989921,"solid tumors, biliary tract cancer, breast cancer, endometrial cancer, malignant pancreatic neoplasm, ovarian cancer",PHASE_2,RECRUITING,National Cancer Institute (NCI),2030-07-01,2023-04-07,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,NCT05564377,,67307512,C34H33ClN6O7,,673.1,https://clinicaltrials.gov/study/NCT05564377
ERLOTINIB,CHEMBL553,"advanced solid tumor, non-Hodgkin lymphoma, plasma cell myeloma, thyroid gland carcinoma",PHASE_2,RECRUITING,The Netherlands Cancer Institute,2027-09,2016-08,Epidermal growth factor receptor erbB1 inhibitor,NCT02925234,PMID:35086719 - Comprehensive Molecular Characterization Reveals Genomic and Transcriptomic Subtypes of Metastatic Urothelial Carcinoma. - (European urology 2022),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT02925234
ERLOTINIB,CHEMBL553,,PHASE_2,RECRUITING,Canadian Cancer Trials Group,2026-12-31,2018-03-23,Epidermal growth factor receptor erbB1 inhibitor,NCT03297606,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT03297606
ERLOTINIB,CHEMBL553,"advanced malignant disease, advanced cancer",PHASE_2,RECRUITING,Ulrik Lassen,2029-04-30,2020-08-24,Epidermal growth factor receptor erbB1 inhibitor,NCT04341181,"PMID:36814246 - ProTarget: a Danish Nationwide Clinical Trial on Targeted Cancer Treatment based on genomic profiling - a national, phase 2, prospective, multi-drug, non-randomized, open-label basket trial. - (BMC cancer 2023)",176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT04341181
ERLOTINIB,CHEMBL553,"papillary renal cell carcinoma, renal cell adenocarcinoma",PHASE_2,RECRUITING,National Cancer Institute (NCI),2027-12-31,2022-06-10,Epidermal growth factor receptor erbB1 inhibitor,NCT04981509,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT04981509
ERLOTINIB,CHEMBL553,non-small cell lung carcinoma,PHASE_2,RECRUITING,"OBI Pharma, Inc",2025-12-31,2022-07-27,Epidermal growth factor receptor erbB1 inhibitor,NCT05442060,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT05442060
ERLOTINIB,CHEMBL553,head and neck cancer,PHASE_2,RECRUITING,Mayo Clinic,2028-06-30,2025-07-09,Epidermal growth factor receptor erbB1 inhibitor,NCT06997068,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT06997068
ERLOTINIB,CHEMBL553,hepatocellular carcinoma,PHASE_2,RECRUITING,Fudan University,2029-01-15,2026-01-19,Epidermal growth factor receptor erbB1 inhibitor,NCT07328009,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT07328009
ERLOTINIB,CHEMBL553,"lung cancer, non-small cell lung carcinoma",PHASE_1_2,RECRUITING,China Medical University Hospital,2026-08-27,2024-02-23,Epidermal growth factor receptor erbB1 inhibitor,NCT06071013,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT06071013
ERLOTINIB,CHEMBL553,pancreatic adenocarcinoma,PHASE_1_2,RECRUITING,UNC Lineberger Comprehensive Cancer Center,2027-08,2025-02-06,Epidermal growth factor receptor erbB1 inhibitor,NCT06483555,PMID:29462254 - Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors. - (Annals of oncology : official journal of the European Society for Medical Oncology 2018),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT06483555
ERLOTINIB,CHEMBL553,cancer,UNKNOWN,RECRUITING,Second Affiliated Hospital of Guangzhou Medical University,2030-07-01,2017-07-01,Epidermal growth factor receptor erbB1 inhibitor,NCT03192501,PMID:28007024 - iCAGES: integrated CAncer GEnome Score for comprehensively prioritizing driver genes in personal cancer genomes. - (Genome medicine 2016),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT03192501
ERLOTINIB,CHEMBL553,"metastatic solid tumor, locally advanced solid tumor",UNKNOWN,RECRUITING,Seoul National University Bundang Hospital,2026-09,2022-09-28,Epidermal growth factor receptor erbB1 inhibitor,NCT05525858,PMID:38724991 - Pragmatic nationwide master observational trial based on genomic alterations in advanced solid tumors: KOrean Precision Medicine Networking Group Study of MOlecular profiling guided therapy based on genomic alterations in advanced Solid tumors (KOSMOS)-II study protocol KCSG AL-22-09. - (BMC cancer 2024),176870,C22H23N3O4,,393.4,https://clinicaltrials.gov/study/NCT05525858
NIMOTUZUMAB,CHEMBL2108359,"esophagogastric junction cancer, esophageal cancer",PHASE_3,RECRUITING,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",2030-12-31,2002-01-01,Epidermal growth factor receptor erbB1 inhibitor,NCT04821778,PMID:40367097 - Definitive chemoradiotherapy combined with anti-PD-1 immunotherapy for inoperable esophageal squamous cell carcinoma: a multicenter real-world study. - (Cancer biology & therapy 2025),,,,,https://clinicaltrials.gov/study/NCT04821778
NIMOTUZUMAB,CHEMBL2108359,"esophagogastric junction cancer, cancer, esophageal cancer",PHASE_3,RECRUITING,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",2030-12-31,2002-01-01,Epidermal growth factor receptor erbB1 inhibitor,NCT04821843,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT04821843
NIMOTUZUMAB,CHEMBL2108359,nasopharyngeal carcinoma,PHASE_3,RECRUITING,Fudan University,2025-01-01,2022-01-01,Epidermal growth factor receptor erbB1 inhibitor,NCT05772208,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT05772208
NIMOTUZUMAB,CHEMBL2108359,"gastroesophageal junction adenocarcinoma, gastric adenocarcinoma",PHASE_3,RECRUITING,"Biotech Pharmaceutical Co., Ltd.",2026-03-01,2024-08-01,Epidermal growth factor receptor erbB1 inhibitor,NCT05978050,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT05978050
NIMOTUZUMAB,CHEMBL2108359,nasopharyngeal carcinoma,PHASE_3,RECRUITING,"Air Force Military Medical University, China",2025-09-30,2023-09-01,Epidermal growth factor receptor erbB1 inhibitor,NCT06026878,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06026878
NIMOTUZUMAB,CHEMBL2108359,head and neck squamous cell carcinoma,PHASE_3,RECRUITING,Shandong Cancer Hospital and Institute,2028-01-05,2026-01-05,Epidermal growth factor receptor erbB1 inhibitor,NCT07333274,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT07333274
NIMOTUZUMAB,CHEMBL2108359,head and neck squamous cell carcinoma,PHASE_3,RECRUITING,Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University,2028-03-05,2026-03-04,Epidermal growth factor receptor erbB1 inhibitor,NCT07445048,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT07445048
NIMOTUZUMAB,CHEMBL2108359,nasopharyngeal carcinoma,PHASE_2,RECRUITING,Sichuan Cancer Hospital and Research Institute,2025-10-30,2022-04-20,Epidermal growth factor receptor erbB1 inhibitor,NCT05508347,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT05508347
NIMOTUZUMAB,CHEMBL2108359,nasopharyngeal carcinoma,PHASE_2,RECRUITING,Jiangxi Provincial Cancer Hospital,2026-02-09,2024-02-10,Epidermal growth factor receptor erbB1 inhibitor,NCT06259721,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06259721
NIMOTUZUMAB,CHEMBL2108359,exocrine pancreatic carcinoma,PHASE_2,RECRUITING,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,2026-09-30,2023-10-18,Epidermal growth factor receptor erbB1 inhibitor,NCT06389760,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06389760
NIMOTUZUMAB,CHEMBL2108359,"liver metastases, exocrine pancreatic carcinoma",PHASE_2,UNKNOWN,Tianjin Medical University Cancer Institute and Hospital,2025-03-31,2022-05-06,Epidermal growth factor receptor erbB1 inhibitor,NCT06404840,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06404840
NIMOTUZUMAB,CHEMBL2108359,esophageal squamous cell carcinoma,PHASE_2,RECRUITING,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",2025-12-31,2023-03-01,Epidermal growth factor receptor erbB1 inhibitor,NCT06410651,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06410651
NIMOTUZUMAB,CHEMBL2108359,hepatocellular carcinoma,PHASE_2,UNKNOWN,Tianjin Medical University Cancer Institute and Hospital,2025-07-31,2023-08-31,Epidermal growth factor receptor erbB1 inhibitor,NCT06413017,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06413017
NIMOTUZUMAB,CHEMBL2108359,esophageal squamous cell carcinoma,PHASE_2,RECRUITING,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",2025-12-31,2023-03-01,Epidermal growth factor receptor erbB1 inhibitor,NCT06429839,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06429839
NIMOTUZUMAB,CHEMBL2108359,nasopharyngeal carcinoma,PHASE_2,RECRUITING,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",2026-05-30,2024-08-30,Epidermal growth factor receptor erbB1 inhibitor,NCT06509009,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06509009
NIMOTUZUMAB,CHEMBL2108359,nasopharyngeal carcinoma,PHASE_2,RECRUITING,The First Affiliated Hospital of Xiamen University,2026-12-31,2024-11-05,Epidermal growth factor receptor erbB1 inhibitor,NCT06676722,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06676722
NIMOTUZUMAB,CHEMBL2108359,esophageal squamous cell carcinoma,PHASE_2,RECRUITING,The First Affiliated Hospital of Zhengzhou University,2025-09,2023-03-08,Epidermal growth factor receptor erbB1 inhibitor,NCT06718205,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06718205
NIMOTUZUMAB,CHEMBL2108359,malignant pancreatic neoplasm,PHASE_2,RECRUITING,Zhejiang Provincial People's Hospital,2028-09-30,2024-11-15,Epidermal growth factor receptor erbB1 inhibitor,NCT06722911,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06722911
NIMOTUZUMAB,CHEMBL2108359,malignant pancreatic neoplasm,PHASE_2,RECRUITING,Zhejiang University,2027-02-01,2025-03-25,Epidermal growth factor receptor erbB1 inhibitor,NCT06770452,"PMID:33711962 - Pre-clinical study of IRDye800CW-nimotuzumab formulation, stability, pharmacokinetics, and safety. - (BMC cancer 2021)",,,,,https://clinicaltrials.gov/study/NCT06770452
